Cluster,StoreNum,StoreName,Address,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
3,1821, ALPHARETTA GA AVALON,3160 AVALON BLVD,ALPHARETTA,30009,GA,B2,LIFESTYLE CENTER,WARM,EAST COAST-SOUTHEAST DISTRICT,34.0709773,-84.2769734,23852917.68,14421774.2
3,1847, CHARLOTTE ATHERTON M,2000 SOUTH BLVD.,CHARLOTTE,28203,NC,A1,LIFESTYLE CENTER,MILD,EAST COAST-MID-ATLANTIC DISTRICT,35.2087528,-80.8607778,14987240.65,9124553.55
3,1862," CHARLESTON, SC",466 KING ST.,CHARLESTON,29403,SC,F,METRO,MILD,EAST COAST-SOUTHEAST DISTRICT,32.7897082,-79.9387041,7222231.54,4252168.73
3,1868," KNOXVILLE, TN",5330 KINGSTON PIKE,KNOXVILLE,37919,TN,F,UNKNOWN,MILD,EAST COAST-MID-ATLANTIC DISTRICT,35.9367207,-83.990713,4014865.03,2559511.91
3,1880," BATON ROUGE, LA",10000 PERKINS ROWE,BATON ROUGE,70810,LA,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-SOUTHEAST DISTRICT,30.3789585,-91.0942794,2568608.49,1776340.39
3,1884," CARY, NC",8 FENTON MAIN STREET,CARY,27511,NC,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MID-ATLANTIC DISTRICT,35.7811681,-78.758213,10457026.2,6344707.73
3,1883," SANTA ROSA BEACH, FL",4771 E COUNTY HWY 30A,SANTA ROSA BEACH,32459,FL,F,UNKNOWN,UNKNOWN,EAST COAST-SOUTHEAST DISTRICT,30.3121528,-86.098925,1323578.45,890418.83
3,832," AUSTIN LAMAR BLVD, TX",524  LAMAR BLVD,AUSTIN,78703,TX,F,METRO,HOT,CENTRAL-TEXAS,30.2712053,-97.7544452,23798553.95,13740441.71
3,6010, FP MOV FORT WORTH TX,1600 S. UNIVERSITY DRIVE,FORT WORTH,76107,TX,UNKNOWN,UNKNOWN,UNKNOWN,WEST COAST-MVMT - WEST COAST,32.7286945,-97.3633408,9280858.71,5858797.83
3,6015, FP MOV ATLANTA,3500 PEACHTREE RD.,ATLANTA,30326,GA,UNKNOWN,UNKNOWN,UNKNOWN,EAST COAST-MVMT - EAST COAST,33.8528035,-84.3622556,28356431.89,16732614.67
3,6020, FP MOV HOUSTON TX,5135 W. ALABAMA STREET,HOUSTON,77056,TX,UNKNOWN,UNKNOWN,UNKNOWN,WEST COAST-MVMT - WEST COAST,29.737703,-95.4644579,14671202.21,8924958.15
3,1872," TULSA, OK",3514 SOUTH PEORIA AVE.,TULSA,74105,OK,UNKNOWN,LIFESTYLE CENTER,MILD,CENTRAL-MOUNTAIN DISTRICT,36.112936,-95.9758593,3336672.95,2181727.66
3,1881," SOUTHLAKE, TX",1434 MAIN STREET,SOUTHLAKE,76092,TX,F,UNKNOWN,UNKNOWN,CENTRAL-TEXAS,32.942579,-97.1298603,14118724.91,8702705.29
3,1856," WOODLANDS, TX",1201 LAKE WOODLANDS DR.,THE WOODLANDS,77380,TX,A2,TRADITIONAL MALL,HOT,CENTRAL-TEXAS,30.163701,-95.4542747,6017063.8,3939768.12
3,6029," FP MOV DALLAS, TX",2620 MAIN STREET,DALLAS,75226,TX,UNKNOWN,UNKNOWN,UNKNOWN,WEST COAST-MVMT - WEST COAST,32.783341,-96.785554,19299669.74,11627219.99
3,812, AUSTIN TX  THE DOMAIN,11700 ROCKS ROSE AVE,AUSTIN,78758,TX,A1,LIFESTYLE CENTER,HOT,CENTRAL-TEXAS,30.4038195,-97.7219177,24269391.95,13976723.08
