Cluster,StoreNum,StoreName,Latitude,Longitude,CLASS_FP_KNIT_TOPS,CLASS_FP_JEANS,CLASS_FP_W_DRESSES,CLASS_FP_BEACH,CLASS_FP_ENDLESS_SUMMER,CLASS_FP_SWEATERS,CLASS_FP_WOVEN_BLOUSES,CLASS_FP_PANTS,CLASS_FP_BOOTS,CLASS_FP_W_HEAVY_KNITS,CLASS_FP_BLAZERS___JACKETS,CLASS_FP_CASUAL_OUTERWEAR,CLASS_FP_ATHLETIC,CLASS_FP_SHORTS,CLASS_FP_TREND_SHOES,CLASS_FP_OUTERWEAR,CLASS_FP_SKIRTS,CLASS_FP_PERFORMANCE_SHORTS,CLASS_FP_W_PARTY_DRESSES,CLASS_FP_CASUAL_ONE_PIECES,CLASS_FP_SANDALS,CLASS_FP_PERFORMANCE_CAMIS,CLASS_FP_LOUNGE,CLASS_FP_SLIPS,CLASS_FP_BODY,CLASS_FP_JEWELRY,CLASS_FP_BRAS,CLASS_FP_FP_SCARVES,CLASS_FP_CASUAL_BOTTOMS,CLASS_FP_MOVEMENT_HEAVYWEIGHTS,CLASS_FP_PERFORMANCE_ONE_PIECES,CLASS_FP_HATS,CLASS_FP_PERFORMANCE_LEGGINGS,CLASS_FP_BELTS,CLASS_FP_CASUAL_LAYERING,CLASS_FP_BRAS___MOVEMENT,CLASS_FP_ONE_PIECE,CLASS_FP_SUNGLASSES,CLASS_FP_SWIM_TOPS,CLASS_FP_PERFORMANCE_OUTERWEAR,CLASS_FP_HAIR_ACCESSORIES,CLASS_FP_PERFORMANCE_LAYERING,CLASS_FP_SWIM_BOTTOMS,CLASS_FP_MOVEMENT_BAGS,CLASS_FP_CASUAL_SHORTS,CLASS_FP_CASUAL_SETS,CLASS_FP_SUNSUITS,CLASS_FP_PERFORMANCE_BOTTOMS,CLASS_FP_SURF_ONE_PIECE,CLASS_FP_UNDIES,CLASS_FP_UNDERWIRE_BRAS,CLASS_FP_PERFORMANCE_SETS,CLASS_SUITS,CLASS_FP_MOVEMENT_SOCKS,CLASS_FP_SURF_TOPS,CLASS_FP_IN_CASE_JEWELRY,CLASS_MOVEMENT_ACCESSORIES,CLASS_FP_SURF_BOTTOMS,CLASS_FP_MOVEMENT_HATS,CLASS_FP_MISC_ACCESSORIES
5,6291,FP COLL  MVNT RET STR,34.0590031,-118.418866,0.965339369,1.10698821,1.050136649,0.906618327,1.022030688,0.989631932,1.04846001,1.210408528,1.063309185,0.85770731,1.1743251,0.846529129,0.799161279,0.924855469,1.099640032,1.137606328,1.044240016,0.485583748,1.124910648,0.897873326,1.021703717,0.740219498,1.066803258,1.141891572,0.859745357,1.075368059,1.126679979,1.128094437,1.095033692,0.801546842,1.063183833,1.104676964,0.871105734,1.212242327,0.73657329,0.837005311,1.063551789,0.961964869,1.007677279,1.043295788,1.071955075,0.761444668,0.98534436,0.901665828,0.824637711,0.841202302,1.015774038,1.036578923,1.261874491,1.083691882,1.122957492,0.92542774,1.551003872,1.027522877,1.148531897,1.242525514,1.078206854,1.241236736,0.847358685,1.142744987
5,1853, NYC WBWAY & SPRING,40.7237571,-74.0021582,0.952332513,1.003887314,1.034199268,1.037211074,1.112804111,0.962523673,0.982116157,1.086490289,1.052092755,0.828989858,0.987773867,0.888745079,0.93365529,0.924389516,1.223274072,1.234094827,1.114356923,0.510325299,1.043865989,0.732808755,1.085319587,0.689555328,1.003352697,1.06139315,1.134600604,1.026402681,1.043355583,1.096928116,0.895984461,0.810358752,0.846768128,1.136256907,0.885551608,1.022677546,0.832294416,0.816535365,1.160205833,1.25822387,1.191837919,1.148895604,1.101252918,0.739869339,1.175609789,1.000786966,0.821878844,0.837832332,1.304696506,0.926666584,1.027960008,1.136244737,1.20199107,0.852756608,1.216513759,0.960926479,1.006999833,1.03976866,0.91983462,0.99875076,1.063697899,0.841563916
5,1858," METAIRIE, LA",30.006398,-90.1572976,0.921419998,1.032233293,1.10549326,0.959085744,1.054387274,0.644543533,0.961309165,0.981915549,1.082903299,0.515770245,0.842780017,0.666359487,1.248567269,1.285079124,1.223901388,1.030480336,1.201612029,2.74305643,0.988781828,0.860402406,1.190301574,1.033561452,0.870996409,0.982041689,0.991030112,0.997917165,1.059799775,0.986331182,0.672387716,0.715835665,1.141063791,0.869940391,1.036349433,0.972593382,0.953911861,1.018188755,0.65147341,1.418116762,0.822036415,1.293457427,0.811756021,1.130589887,0.893542658,0.816448515,1.174575188,1.346681154,0.655610938,0.727399497,1.089562029,1.532447923,1.170988209,0.821377575,1.474909319,0.865867732,1.233479448,1.759749111,0.83071169,1.495469007,0.280332483,0.742179375
5,6035," FP MOV TIBURON, CA",37.8734076,-122.4566095,0.874641878,1.283881237,0.919444367,0.850822863,0.872883317,1.02795118,0.962366475,1.004678158,0.945506927,0.816069533,1.208450715,1.384768217,0.861179053,0.892153758,1.211345393,1.182017527,0.94554605,0.507873364,1.120184527,0.772900306,0.877365583,0.817019416,0.822660502,1.100767154,1.041832812,0.931542499,1.330524833,1.023999504,0.921321091,0.8436351,0.718798544,1.082853756,0.948093712,0.893660252,0.846518578,0.808876547,1.404939197,1.182610851,1.294214385,1.088234803,1.083080917,0.862468831,1.277748811,0.874680092,0.660710764,0.56747516,1.046170455,1.104213,1.177054129,1.343726692,1.508175641,0.870084691,0.98243702,1.097829446,1.022684764,1.176258888,1.238592296,1.147264313,0.960666161,0.965572109
5,817, CANOGA PARK CA  TPNGA,34.1887963,-118.6034243,1.012426898,1.120023095,1.029426465,0.884405686,0.994034771,0.992387569,1.063059293,1.222374867,1.07106209,0.881504815,1.176343889,0.867488088,0.766566341,0.921437414,0.989340034,1.163205732,1.077118102,0.489960829,1.178762794,0.948680431,0.976565246,0.780762718,1.132694105,1.129104777,0.828571549,1.03486016,1.127684251,1.074492021,1.120508328,0.784158087,1.0964053,1.092118056,0.926262558,1.189535144,0.77776684,0.848811246,1.011178308,0.909026602,0.983519579,0.940195694,1.033295321,0.78129147,0.954720504,0.826700859,0.819935446,0.83486616,1.002439466,0.98058238,1.300080219,1.072176149,1.115739007,0.964747804,1.463477373,1.032776009,1.145408787,1.290300253,1.008089514,1.152419093,0.85237356,1.178736888
5,1803, SHERMAN OAKS FASHION,34.156988,-118.4374399,0.967666149,1.111511491,1.034904259,0.892926684,1.019164739,0.975765705,1.048973393,1.233252256,1.072854536,0.844310527,1.16877767,0.846690608,0.78762407,0.921487349,1.105656817,1.135540519,1.035783159,0.479807494,1.156231884,0.920867237,1.028089144,0.744357487,1.095087449,1.14231777,0.86358468,1.077286439,1.148300602,1.131068557,1.120619938,0.791362552,1.073811219,1.081597192,0.871998423,1.217791136,0.731321499,0.834441097,1.073175106,0.948842036,0.990140218,0.949255183,1.078719028,0.779282709,0.973085966,0.86391474,0.849155058,0.827585989,1.028311068,1.031667881,1.283413864,1.110193162,1.123804707,0.901833453,1.606915937,1.048943798,1.151765346,1.231470695,1.124083738,1.220397744,0.84551829,1.144599579
5,6001, FP MOV CENTURY CITY,34.0590031,-118.418866,0.965339369,1.10698821,1.050136649,0.906618327,1.022030688,0.989631932,1.04846001,1.210408528,1.063309185,0.85770731,1.1743251,0.846529129,0.799161279,0.924855469,1.099640032,1.137606328,1.044240016,0.485583748,1.124910648,0.897873326,1.021703717,0.740219498,1.066803258,1.141891572,0.859745357,1.075368059,1.126679979,1.128094437,1.095033692,0.801546842,1.063183833,1.104676964,0.871105734,1.212242327,0.73657329,0.837005311,1.063551789,0.961964869,1.007677279,1.043295788,1.071955075,0.761444668,0.98534436,0.901665828,0.824637711,0.841202302,1.015774038,1.036578923,1.261874491,1.083691882,1.122957492,0.92542774,1.551003872,1.027522877,1.148531897,1.242525514,1.078206854,1.241236736,0.847358685,1.142744987
5,842, CORTE MADERA  VILLAGE,37.9296414,-122.515021,0.859577274,1.299709321,0.906962039,0.836392264,0.850278642,1.026238465,0.943270653,1.014290706,0.95421499,0.795982935,1.191504057,1.395183732,0.870650663,0.88806563,1.238067444,1.183145077,0.942024449,0.513495073,1.138860009,0.771994009,0.877356276,0.835778077,0.841983622,1.096018469,1.036868174,0.928743386,1.345239777,1.022820749,0.897812437,0.832985417,0.716908688,1.081741351,0.972156955,0.881503082,0.84257142,0.810465282,1.447998122,1.181363465,1.309527942,1.182408105,1.067898902,0.872986986,1.292033476,0.897373262,0.683798896,0.525844787,1.065565147,1.16496378,1.245198535,1.36878992,1.565234437,0.861261762,0.99810187,1.103291859,1.008901248,1.241381133,1.247696655,1.148699437,0.94884685,0.988798129
5,846, STUDIO CITY  VENTURA,34.143208,-118.396238,0.962274098,1.106210527,1.047366257,0.89893605,1.017453566,0.980155368,1.04741414,1.225542675,1.076568407,0.844249732,1.16183955,0.833951871,0.79331555,0.92639538,1.116786608,1.154764672,1.042818278,0.479353058,1.151968963,0.904118209,1.024192396,0.735176739,1.085218864,1.141981738,0.862360357,1.087030328,1.139493601,1.133197453,1.093936944,0.787769868,1.066822863,1.111719561,0.867450794,1.226004101,0.728037901,0.827618811,1.054562365,0.966881501,1.005514409,0.999345948,1.096073571,0.765849251,0.990426645,0.888169272,0.841551955,0.820765215,1.036596478,1.051413701,1.266197181,1.105816895,1.13257253,0.922174409,1.59458071,1.046864759,1.164129892,1.244972985,1.114109115,1.244740984,0.839799293,1.15496845
5,877, L.A. WFLD CENTURYCITY,34.0586592,-118.4190309,0.965166691,1.106824691,1.050223998,0.906598677,1.022086226,0.989386377,1.048403038,1.211208594,1.063542393,0.857807626,1.174718433,0.846289199,0.799293036,0.924868757,1.099322969,1.137622673,1.044491389,0.485590724,1.12492681,0.897886226,1.021437032,0.740352355,1.066818586,1.141823196,0.859728059,1.07591686,1.12669637,1.128404411,1.095049425,0.801875117,1.06269658,1.104319666,0.87111825,1.212259744,0.736024194,0.837017337,1.063567069,0.962569098,1.007691757,1.043310777,1.071970476,0.761455608,0.985358517,0.900966865,0.824649559,0.841214387,1.015788632,1.034255989,1.26189262,1.082530645,1.122973626,0.925441036,1.551026156,1.028431977,1.148548399,1.242543366,1.078222345,1.241254569,0.847370859,1.142761406
